id	year	title_eng	genre	translator_signature	translator_name	title	first_line	prose_or_verse	txt_version	source_title	place	volume	pages	source_type
"26"	1823	"Lines Written in an Album at Malta"	"Стихи"	"И. Козлов"	"КозловИИ"	"В альбом ***"	"Когда над сонною рекой"	"стихи"	"да"	"Новости литературы"	"NA"	"Кн. 3. № 12"	"С. 188-189"	"периодика"
"27"	1823	"Sun of the Sleepless"	"Стихи; Еврейские мелодии"	"И. Козлов"	"КозловИИ"	"К звезде, в бессонную ночь, из Байрона"	"Звезда, приветный свет тоски моей!"	"стихи"	"да"	"Новости литературы"	"NA"	"Кн. 3. № 12"	"С. 188"	"периодика"
"28"	1823	"The Bride of Abydos"	"Поэмы"	"И. Козлов"	"КозловИИ"	"Леандрова ночь (С Английского)"	"Вздымался Геллеспонт грозою"	"стихи"	"да"	"Новости литературы"	"NA"	"Кн. 4. № 24"	"С. 175-176"	"периодика"
"29"	1823	"Fare Thee Well"	"Стихи"	"Иван Козлов"	"КозловИИ"	"Прости. Элегия Лорда Байрона на разлучение супругов.  Пер.  англ."	"Прости! И если так судьбой"	"стихи"	"да"	"Сын отечества"	"NA"	"Ч. 85. № 18"	"С. 182-184"	"периодика"
"30"	1823	"Lines Written in an Album at Malta"	"Стихи"	"Г. Лузанов"	"ЛузановГИ"	"В альбом"	"Как путник меж гробов невольно взор склоняет"	"стихи"	"да"	"Благонамеренный"	"NA"	"Ч. 23. № 17"	"С. 361"	"периодика"
"530"	1823	"The Death of Calmar and Orla"	"Поэмы"	"Загорский"	"ЗагорскийМП"	"Колмар и Орла"	"NA"	"стихи"	"NA"	"Соревнователь"	"NA"	"Ч. 24. № 10"	"С. 40-52"	"периодика"
"31"	1824	"Fare Thee Well"	"Стихи"	"Е..на М……ва"	"NA"	"Прости. Элегия из Байрона [в прозе]"	"NA"	"проза"	"NA"	"Дамский журнал"	"NA"	"Ч. 7. № 18"	"С. 202-205"	"периодика"
"32"	1824	"Oh, Weep for Those"	"Стихи, Еврейские мелодии"	"С. Б.к.р.в.чь"	"БаккаревичС"	"Еврейские стихотворения из Лорда Бейрона. Песнь пленных иудеев"	"Оплачьте забытых в стране отдаленной"	"стихи"	"да"	"Русский вестник"	"NA"	"Кн. 3"	"С. 57-58"	"периодика"
"33"	1824	"Saul"	"Стихи, Еврейские мелодии"	"С. Б.к.р.в.чь"	"БаккаревичС"	"Еврейские стихотворения из Лорда Бейрона. Саул"	"Стон призывный пробудил"	"стихи"	"да"	"Русский вестник"	"NA"	"Кн. 3"	"С. 56-57"	"периодика"
"34"	1824	"Oh, Shatched away in Beauty’s Bloom"	"Стихи, Еврейские мелодии"	"С. Б.к.р.в.чь"	"БаккаревичС"	"Еврейские стихотворения из Лорда Бейрона. Уже нет ее!"	"Не пышный памятник сокроет милый прах!"	"стихи"	"да"	"Русский вестник"	"NA"	"Кн. 3"	"С. 58-59"	"периодика"
"35"	1824	"Mazeppa"	"Поэмы"	"б.п."	"ВоейковАФ"	"Мазепа (Из сочинений Лорда Бейрона) [в прозе]"	"NA"	"проза"	"NA"	"Новости литературы"	"NA"	"Кн. 10. Ноябрь"	"С. 9-33"	"периодика"
"36"	1824	"The Siege of Corinth"	"Поэмы"	"б.п."	"ВоейковАФ"	"Осада Коринфа (Из сочинений Лорда Бейрона) [в прозе]"	"NA"	"проза"	"NA"	"Новости литератруры"	"NA"	"Кн. 9. Сентябрь"	"С. 97-128"	"периодика"
"37"	1824	"Oscar of Alva"	"Поэмы"	"В."	"ВоейковАФ"	"Оскар д’Альва. Повесть [в прозе]  (Из сочинений лорда Байрона)"	"NA"	"проза"	"NA"	"Новости литературы"	"NA"	"Кн. 9. Август"	"С. 76-89"	"периодика"
"38"	1824	"Lines Written in an Album at Malta"	"Стихи"	"Князь Вяземский"	"ВяземскийПА"	"Стихи в альбом, из Байрона"	"Как надпись хладная на камне гробовом"	"стихи"	"да"	"Новости литературы"	"NA"	"Кн. 7. № 3"	"С. 46"	"периодика"
"39"	1824	"By the Rivers of Babylon"	"Стихи; Еврейские мелодии"	"В. Григорьев"	"ГригорьевВН"	"Чувства плененного певца"	"Тоскуя сидел я на бреге потока"	"стихи"	"да"	"Соревнователь"	"NA"	"Ч. 25. Кн. 1."	"С. 52-53"	"периодика"
"40"	1824	"The Wild Gazelle"	"Стихи; Еврейские мелодии"	"В. Григорьев"	"ГригорьевВН"	"Жалобы израильтян (Из Байрона)"	"Веселая серна, не зная цепей"	"стихи"	"да"	"Соревнователь"	"NA"	"Ч. 25. Кн. 3"	"С. 253-254"	"периодика"
"41"	1824	"The Corsair"	"Поэмы"	"О."	"ОлинВН"	"Романс Медоры. Из 1-й песни Бейроновой поэмы: Корсар, the Corsair"	"Сокрыта навсегда любовь в душе моей"	"стихи"	"да"	"Литературные листки"	"NA"	"Ч. 1. № 1"	"С. 23-24"	"периодика"
"42"	1824	"Parisina"	"Поэмы"	"Я."	"ЯковлевМА"	"Паризина. Историческая повесть ( Из сочинений Лорда Бейрона) [в прозе]"	"NA"	"проза"	"NA"	"Новости литературы"	"NA"	"Кн. 9. Октябрь"	"С. 163-180"	"периодика"
"43"	1825	"NA"	"Стихи"	"Хр-ъ"	"NA"	"К Тирзе. Элегия Лорда Байрона. С фр. Хр-ъ [в прозе]"	"NA"	"проза"	"NA"	"Благонамеренный"	"NA"	"Ч. 30. № 18"	"С. 164-166"	"периодика"
"44"	1825	"NA"	"Стихи"	"Х."	"NA"	"К Тирзе. Вторая элегия Лорда Бейрона. С фр. Х. [в прозе]"	"NA"	"проза"	"NA"	"Благонамеренный"	"NA"	"Ч. 30. № 21"	"С. 261-262"	"периодика"
"45"	1825	"Fare Thee Well"	"Стихи"	"Х."	"NA"	"Прости. Элегия лорда Бейрона [в прозе]"	"NA"	"проза"	"NA"	"Благонамеренный"	"NA"	"Ч. 30. № 22"	"С. 273-276"	"периодика"
"46"	1825	"NA"	"Стихи"	"Н."	"NA"	"Еще элегия лорда Бейрона [в прозе]"	"NA"	"проза"	"NA"	"Благонамеренный"	"NA"	"Ч. 30. № 23"	"С. 316-319"	"периодика"
"47"	1825	"NA"	"Стихи"	"Н."	"NA"	"Марии. Из сочинений лорда Бейрона [в прозе]"	"NA"	"проза"	"NA"	"Благонамеренный"	"NA"	"Ч. 30. № 24"	"С. 364-366"	"периодика"
"48"	1825	"NA"	"Стихи"	"Н."	"NA"	"Стансы. Из сочинений лорда Бейрона [в прозе]"	"NA"	"проза"	"NA"	"Благонамеренный"	"NA"	"Ч. 30. № 25-26"	"С. 378-381"	"периодика"
"49"	1825	"Lines Written in an Album at Malta"	"Стихи"	"А. Б.стр.м"	"БистромА"	"В альбом (Подражание Байрону)"	"Как имя скрытого под гробовой доской"	"стихи"	"NA"	"Благонамеренный"	"NA"	"Ч. 31. № 27-28"	"С. 37"	"периодика"
"50"	1825	"Lines Written in an Album at Malta"	"Стихи"	"А. Бистром"	"БистромА"	"В альбом Ф. А. Б-вой (Подражание Лорду Бейрону)"	"Как имя на доске холодной, гробовой"	"стихи"	"NA"	"Московский телеграф"	"NA"	"Ч. 4. № 15. Отд. 2"	"С. 233"	"периодика"
"51"	1825	"Don Juan"	"Поэмы"	"В."	"ВяземскийПА"	"Нью-Стидское аббатство [статья, содержащая отрывок из «Дон-Жуана»] [в прозе]"	"Они отправились в Нораман-Аббатстсво"	"проза"	"NA"	"Московский телеграф"	"NA"	"Ч. 5. № 20. Отд. 2"	"С. 343-354"	"периодика"
"52"	1825	"Sun of the Sleepless"	"Стихи; Еврейские мелодии"	"Д. Гл."	"ГлебовДП"	"К луне, подражание Байрону"	"Тебя, задумчиво светило"	"NA"	"NA"	"Новости литературы"	"NA"	"Кн. 14. Октябрь"	"С. 64"	"периодика"
"53"	1825	"Sun of the Sleepless"	"Стихи; Еврейские мелодии"	"Дмитрий Глебов"	"ГлебовДП"	"К луне, подражание Байрону"	"Тебя, задумчиво светило"	"NA"	"да"	"Сын отечества"	"NA"	"Ч. 100. № 7"	"С. 301"	"периодика"
"54"	1825	"The Bride of Abydos"	"Поэмы"	"И. Козлов"	"КозловИИ"	"Отрывки из поэмы Байрона: Абидоская невеста (Песнь первая). Х-XI"	"Задумчиво сидел Селим"	"стихи"	"да"	"Соревнователь"	"NA"	"Ч. 29. № 3."	"С. 290-294"	"периодика"
"55"	1825	"NA"	"Стихи"	"Иван Козлов"	"КозловИИ"	"Стихи, написанные лордом Байроном в альбом одной молодой итальянской графине, за несколько недель до отъезда своего в Миссолунги"	"Когда и мрак, и сон в полях"	"стихи"	"да"	"Новости литературы"	"NA"	"Кн. 11. Март"	"С. 150-151"	"периодика"
"56"	1825	"Child Harold’s Pilgrimage"	"Поэмы"	"И. Козлов"	"КозловИИ"	"Добрая ночь"	"Прости, прости, мой край родной!"	"стихи"	"да"	"Северные цветы на 1825"	"NA"	"NA"	"С. 269-273"	"периодика"
"57"	1825	"The Bride of Abydos"	"Поэмы"	"И. Козлов"	"КозловИИ"	"Абидосская невеста (Отрывок из песни второй)"	"Над Геллеспонтом ветр шумит"	"стихи"	"да"	"Московский телеграф"	"NA"	"Ч. 5. № 19. Отд. 2"	"С. 250-252"	"периодика"
"58"	1825	"Oscar of Alva"	"Поэмы"	"Петр Кудряшев"	"КудряшевПМ"	"Оскар д’Альва. Повесть"	"Светило ночное лучи разливает"	"стихи"	"да"	"Благонамеренный"	"NA"	"Ч. 30. № 18"	"С. 137-152"	"периодика"
"59"	1825	"I Saw Thee Weep"	"Стихи; Еврейские мелодии"	"Маркевич"	"МаркевичНА"	"Мелодия, Из сочинений Лорда Бейрона"	"Недавно видел я, как улыбалась ты"	"стихи"	"NA"	"Новости литературы"	"NA"	"Кн. 11. Январь"	"С. 36"	"периодика"
"60"	1825	"When Coldness Wraps This Suffering Clay"	"Стихи; Еврейские мелодии"	"Маркевич"	"МаркевичНА"	"Мелодия. Из Лорда Бейрона."	"Когда хлад смерти прекратит"	"стихи"	"NA"	"Новости литературы"	"NA"	"Кн. 12. Апрель"	"С. 55-56"	"периодика"
"61"	1825	"She Walks in Beauty"	"Стихи; Еврейские мелодии"	"Маркевич"	"МаркевичНА"	"Мелодия II (Из Лорда Бейрона)"	"Она идет, идет,  -  блистая красотой"	"стихи"	"NA"	"Новости литературы"	"NA"	"Кн. 12. Май"	"С. 140"	"периодика"
"62"	1825	"Parisina"	"Поэмы"	"Н. Маркевич"	"МаркевичНА"	"Два отрывка из «Паризины», поэмы Лорда Бейрона"	"Вот час, в который угасает"	"стихи"	"да"	"Новости литературы"	"NA"	"Кн. 13. Сентябрь"	"С. 176"	"периодика"
"63"	1825	"Parisina"	"Поэмы"	"Н. Маркевич"	"МаркевичНА"	"Два отрывка из «Паризины», поэмы Лорда Бейрона"	"Но не паденье водопада"	"стихи"	"да"	"Новости литературы"	"NA"	"Кн. 13. Сентябрь"	"С. 176-177"	"периодика"
"64"	1825	"Parisina"	"Поэмы"	"Н. Маркевич"	"МаркевичНА"	"Два отрывка из «Паризины», поэмы Лорда Бейрона"	"И Паризину он объемлет"	"стихи"	"да"	"Новости литературы"	"NA"	"Кн. 14. Октябрь"	"С. 71-72"	"периодика"
"65"	1825	"Parisina"	"Поэмы"	"Н. Маркевич"	"МаркевичНА"	"Два отрывка из «Паризины», поэмы Лорда Бейрона"	"Возле него, как он, немая"	"стихи"	"да"	"Новости литературы"	"NA"	"Кн. 14. Октябрь"	"С. 72-73"	"периодика"
"66"	1825	"The Lament of Tasso"	"Поэмы"	"Я."	"ЯковлевМА"	"Сетование Тасса (Из Лорда Байрона) [в прозе]"	"NA"	"проза"	"NA"	"Новости литературы"	"NA"	"Кн. 11. Февраль"	"С. 73-81"	"периодика"
"67"	1825	"Darkness"	"Стихи"	"Я."	"ЯковлевМА"	"Тьма [в прозе]"	"NA"	"проза"	"NA"	"Новости литературы"	"NA"	"Кн. 12. Июнь"	"С. 172-175"	"периодика"
"69"	1825	"The Corsair"	"Поэмы"	"Я."	"ЯковлевМА"	"Корсар. Песнь вторая [в прозе]"	"NA"	"проза"	"NA"	"Новости литературы"	"NA"	"Кн. 14. Ноябрь"	"С. 89-111"	"периодика"
"68"	1825	"The Corsair"	"Поэмы"	"Я."	"ЯковлевМА"	"Корсар. Песнь первая [в прозе]"	"NA"	"проза"	"NA"	"Новости литературы"	"NA"	"Кн. 14. Октябрь"	"С. 42-63"	"периодика"
"71"	1826	"Oscar of Alva"	"Поэмы"	"Дм. Гл."	"ГлебовДП"	"Оскар Альвский"	"На свод лазоревых небес"	"стихи"	"да"	"Новости литературы"	"NA"	"Кн. 17. Ноябрь - декабрь"	"С. 216-224"	"периодика"
"72"	1826	"Sun of the Sleepless"	"Стихи; Еврейские мелодии"	"Иван Козлов"	"КозловИИ"	"Еврейская мелодия"	"Бессонного солнце, в тумане луна!"	"стихи"	"да"	"Северные цветы на 1826"	"NA"	"Отд. 2"	"С. 115"	"периодика"
"73"	1826	"Child Harold’s Pilgrimage"	"Поэмы"	"Ник. Маркевич"	"МаркевичНА"	"Веллино"	"Я видел Веллино: с утесистых высот"	"стихи"	"да"	"Московский телеграф"	"NA"	"Ч. 8. № 7. Отд. 2"	"С. 82-84"	"периодика"
"573"	1826	"Child Harold’s Pilgrimage"	"Поэмы"	"NA"	"МаркевичНА"	"Инезе"	"Не улыбайся предо мною"	"стихи"	"NA"	"Московский телеграф"	"NA"	"Ч. 11. № 17."	"С. 5-6"	"периодика"
"74"	1826	"Oscar of Alva"	"Поэмы"	"А. Полежаев"	"ПолежаевАИ"	"Оскар Альвский (Из Байрона)"	"NA"	"стихи"	"NA"	"Сочинения и прозе и стихах. Труды Общества любителей российской словесности при Московском университете"	"NA"	"Ч. 6"	"С. 248-269"	"периодика"
"75"	1826	"I Saw Thee Weep"	"Стихи, Еврейские мелодии"	"Ротчев"	"РотчевАГ"	"Мелодия, подражание Байрону"	"Как утренней порой"	"стихи"	"NA"	"Московский телеграф"	"NA"	"Ч. 10. № 16. Отд. 2"	"С. 135"	"периодика"
"76"	1826	"The Destruction of Sennacherib"	"Стихи, Еврейские мелодии"	"Ротчев"	"РотчевАГ"	"Разбитие Сеннахерима"	"Как грозный вихрь на нас летят"	"стихи"	"NA"	"Московский телеграф"	"NA"	"Ч. 7. № 2"	"С. 56-58"	"периодика"
"77"	1826	"Don Juan"	"Поэмы"	"Ротчев"	"РотчевАГ"	"Песнь Грека. Подражание Байрону из Дон-Жуана"	"Страна, где Делос красотой"	"стихи"	"да"	"Урания"	"NA"	"NA"	"С. 191-193"	"периодика"
"78"	1826	"The Death of Calmar and Orla"	"Поэмы"	"Ф. Созонович"	"СозоновичФ"	"Смерть Кальмара и Орлы. Подражание Оссиану Макферсона. Пер. с англ."	"NA"	"стихи"	"NA"	"Сын отечества"	"NA"	"Ч. 105. № 4"	"С. 331-339"	"периодика"
"79"	1826	"Lachyn-y-Qair"	"Стихи"	"П. Шкляревский"	"ШкляревскийПП"	"Лакин-и-Гер (Из Байрона)"	"Сокройтесь от взоров, поляны с цветами"	"стихи"	"да"	"Календарь муз на 1826-й год"	"NA"	"Отд. 2"	"С. 133-137"	"периодика"
"80"	1826	"The Giaour"	"Поэмы"	"Я."	"ЯковлевМА"	"Гяур [в прозе]"	"NA"	"проза"	"NA"	"Новости литературы"	"NA"	"Кн. 17. Сентябрь-октябрь"	"С. 114-154"	"периодика"
"81"	1826	"The Corsair"	"Поэмы"	"Я."	"ЯковлевМА"	"Корсар. Песнь третья [в прозе]"	"NA"	"проза"	"NA"	"Новости литературы"	"NA"	"Кн. 15. Январь"	"С. 1-28"	"периодика"
"82"	1826	"Lara"	"Поэмы"	"Я"	"ЯковлевМА"	"Лара (Из Лорда Бейрона). Песнь первая [в прозе]"	"NA"	"проза"	"NA"	"Новости литературы"	"NA"	"Кн. 15. Март"	"С. 110-134"	"периодика"
"83"	1826	"Lara"	"Поэмы"	"Я."	"ЯковлевМА"	"Лара (Из Лорда Бейрона). Песнь вторая [в прозе]"	"NA"	"проза"	"NA"	"Новости литератруры"	"NA"	"Кн. 16. Апрель"	"С. 19-39"	"периодика"
"86"	1827	"The Dream"	"Стихи"	"М.В."	"ВронченкоМП"	"Сон"	"В нас жизнь двояка: сон имеет мир свой"	"стихи"	"да"	"Московский телеграф"	"NA"	"Ч. 15. № 12. Отд. 2"	"С. 129-136"	"периодика"
"87"	1827	"Manfred"	"Драматургия"	"М. В-о"	"ВронченкоМП"	"Хор духов (Из Байронова Манфреда: When the moon is on the wave). Пер. с англ."	"В час ночной, когда луной"	"стихи"	"да"	"Московский телеграф"	"NA"	"Ч. 15. № 10. Отд. 2"	"С. 57-59"	"периодика"
"88"	1827	"Manfred"	"Драматургия"	"М.В."	"ВронченкоМП"	"Отрывки из Байронова сочинения: Манфред (Действие 1-е, явление 2-е)"	"Напрасно все; оставленный духами"	"стихи"	"да"	"Московский телеграф"	"NA"	"Ч. 17. № 18. Отд. 2"	"С. 65-72"	"периодика"
"89"	1827	"The Dream"	"Стихи"	"Дмитрий Глебов"	"ГлебовДП"	"Сон (Из Байрона)"	"Друзья, внимайте: чудный сон!"	"стихи"	"да"	"Северные цветы на 1827"	"NA"	"NA"	"С. 322-328"	"периодика"
"90"	1827	"Lara"	"Поэмы"	"Иван Козлов"	"КозловИИ"	"Ночь в замке Лары (из Лорда Байрона)"	"Настала ночь, небесный свод в звездах"	"стихи"	"да"	"Славянин"	"NA"	"Ч. 2. № 14. Отд. 2."	"С. 26-30"	"периодика"
"589"	1827	"The Lament of Tasso"	"Поэмы"	"В. Трубников"	"ТрубниковВ"	"Отрывок из поэмы Лорда Бейрона: Сетование Тасса"	"Как медленно несется время!"	"стихи"	"NA"	"Славянин"	"NA"	"Ч. 2. № 26"	"С. 468-473"	"периодика"
"590"	1827	"NA"	"Стихи"	"NA"	"МаркевичНА"	"Мелодия (Подражание)"	"Ты восхитительна как несчастливца сон"	"NA"	"NA"	"Славянин"	"NA"	"Ч. 2. № 17"	"NA"	"периодика"
"591"	1827	"NA"	"Стихи"	"NA"	"МаркевичНА"	"Первая любовь"	"Как сладко в час ночной"	"стихи"	"NA"	"Славянин"	"NA"	"Ч. 2. № 21"	"NA"	"периодика"
"91"	1827	"She Walks in Beauty"	"Стихи; Еврейские мелодии"	"Ознобишин"	"ОзнобишинДП"	"She Walks in Beauty (Еврейская мелодия лорда Байрона)"	"Она идет, сияя красотою"	"стихи"	"да"	"Северная лира на 1827"	"NA"	"NA"	"С. 51"	"периодика"
"92"	1827	"Parisina"	"Стихи"	"В. Пушкин"	"ПушкинВЛ"	"Отрывок. Подражание Байрону"	"Вот час, когда вечерний соловей"	"стихи"	"да"	"Литературный музеум на 1827"	"NA"	"NA"	"С. 247"	"периодика"
"93"	1827	"Lines Written in an Album at Malta"	"Стихи"	"Ф. Тютчев"	"ТютчевФИ"	"В альбом друзьям (Из Л. Байрона)"	"Как медлит путника вниманье"	"стихи"	"да"	"Северная лира на 1827"	"NA"	"NA"	"С. 441"	"периодика"
"95"	1828	"Lines Written in an Album at Malta"	"Стихи"	"***"	"МСуханов"	"В альбом (Подражание Байрону)"	"Как хладный камень гробовой"	"стихи"	"да"	"Дамский журнал"	"NA"	"Ч. 23. № 14"	"С. 76"	"периодика"
"96"	1828	"Child Harold’s Pilgrimage"	"Поэмы"	"К. Батюшков"	"БатюшковКН"	"Элегия"	"Есть наслаждение и в дикости лесов"	"стихи"	"да"	"Северные цветы на 1828"	"NA"	"Отд. 2"	"С. 23"	"периодика"
"97"	1828	"Lachyn-y-Qair"	"Стихи"	"Д. Богданова"	"БогдановД"	"Лакин-и-Гер"	"Сокройтесь от очей, веселые картины"	"стихи"	"да"	"Сын отечества"	"NA"	"Ч. 120. № 15"	"С. 268-271"	"периодика"
"98"	1828	"Vision of Belshazzar"	"Стихи,  Еврейские мелодии"	"И. Бороздна"	"БорозднаИП"	"Видение Валтазара (Вольный перевод из «Еврейских мелодий» Байрона)"	"На троне Царь. Среди палат"	"стихи"	"да"	"Московский телеграф"	"NA"	"Ч. 19. № 2"	"С. 193-195"	"периодика"
"99"	1828	"Darkness"	"Стихи"	"Вронченко"	"ВронченкоМП"	"Мрак (Из Байрона)"	"Я видел сон, не вовсе бывший сном"	"стихи"	"да"	"Атеней"	"NA"	"Ч. 2. № 6"	"С. 150-152"	"периодика"
"100"	1828	"The Death of Calmar and Orla"	"Поэмы"	"Загорский"	"ЗагорскийМП"	"Колмар и Орла. Поэма. Из лорда Байрона"	"Как нашей юности минувшей дни нам милы!"	"стихи"	"да"	"Славянин"	"NA"	"Ч. 8. № 51. Отд. 2"	"С. 451-460"	"периодика"
